- 10050 202501      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10750 2025020110      99999999999999999999999999999999999999999999999999
5 10750 2025021120      99999999999999999999999999999999999999999999999999
5 10750 20250221289999999999999999999999999999999999999999999999
6 10750 202502     9999999999999999999999 999 99
- 10750 202503      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
5 10750 2025030110      99999999999999999999999999999999999999999999999999
5 10750 2025031120      99999999999999999999999999999999999999999999999999
5 10750 20250321319999999999999999999999999999999999999999999999999999999999999
6 10750 202503     9999999999999999999999 999 99
- 10750 202504      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
5 10750 2025040110      99999999999999999999999999999999999999999999999999
5 10750 2025041120      99999999999999999999999999999999999999999999999999
5 10750 202504213099999999999999999999999999999999999999999999999999999999
6 10750 202504     9999999999999999999999 999 99
- 10750 202505      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
5 10750 2025050110      99999999999999999999999999999999999999999999999999
5 10750 2025051120      99999999999999999999999999999999999999999999999999
5 10750 20250521319999999999999999999999999999999999999999999999999999999999999
6 10750 202505     9999999999999999999999 999 99
- 10750 202506      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
5 10750 2025060110      99999999999999999999999999999999999999999999999999
5 10750 2025061120      99999999999999999999999999999999999999999999999999
5 10750 202506213099999999999999999999999999999999999999999999999999999999
6 10750 202506     9999999999999999999999 999 99
- 10750 202507      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
5 10750 2025070110      99999999999999999999999999999999999999999999999999
5 10750 2025071120      99999999999999999999999999999999999999999999999999
5 10750 20250721319999999999999999999999999999999999999999999999999999999999999
6 10750 202507     9999999999999999999999 999 99
- 10750 202508      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
5 10750 2025080110      99999999999999999999999999999999999999999999999999
5 10750 2025081120      99999999999999999999999999999999999999999999999999
5 10750 20250821319999999999999999999999999999999999999999999999999999999999999
6 10750 202508     9999999999999999999999 999 99
- 10750 202509      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
5 10750 2025090110      99999999999999999999999999999999999999999999999999
5 10750 2025091120      99999999999999999999999999999999999999999999999999
5 10750 202509213099999999999999999999999999999999999999999999999999999999
6 10750 202509     9999999999999999999999 999 99
- 10750 202510      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
5 10750 2025100110      99999999999999999999999999999999999999999999999999
5 10750 2025101120      99999999999999999999999999999999999999999999999999
5 10750 20251021319999999999999999999999999999999999999999999999999999999999999
6 10750 202510     9999999999999999999999 999 99
- 10750 202511      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
5 10750 2025110110      99999999999999999999999999999999999999999999999999
5 10750 2025111120      99999999999999999999999999999999999999999999999999
5 10750 202511213099999999999999999999999999999999999999999999999999999999
6 10750 202511     9999999999999999999999 999 99
- 10750 202512      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
5 10750 2025120110      99999999999999999999999999999999999999999999999999
5 10750 2025121120      99999999999999999999999999999999999999999999999999
5 10750 20251221319999999999999999999999999999999999999999999999999999999999999
6 10750 202512     9999999999999999999999 999 99
- 10920 202501      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025010110      99999999999999999999999999999999999999999999999999
5 10920 2025011120      99999999999999999999999999999999999999999999999999
5 10920 20250121319999999999999999999999999999999999999999999999999999999999999
6 10920 202501     9999999999999999999999 999 99
- 10920 202502      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025020110      99999999999999999999999999999999999999999999999999
5 10920 2025021120      99999999999999999999999999999999999999999999999999
5 10920 20250221289999999999999999999999999999999999999999999999
6 10920 202502     9999999999999999999999 999 99
- 10920 202503      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025030110      99999999999999999999999999999999999999999999999999
5 10920 2025031120      99999999999999999999999999999999999999999999999999
5 10920 20250321319999999999999999999999999999999999999999999999999999999999999
6 10920 202503     9999999999999999999999 999 99
- 10920 202504      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025040110      99999999999999999999999999999999999999999999999999
5 10920 2025041120      99999999999999999999999999999999999999999999999999
5 10920 202504213099999999999999999999999999999999999999999999999999999999
6 10920 202504     9999999999999999999999 999 99
- 10920 202505      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025050110      99999999999999999999999999999999999999999999999999
5 10920 2025051120      99999999999999999999999999999999999999999999999999
5 10920 20250521319999999999999999999999999999999999999999999999999999999999999
6 10920 202505     9999999999999999999999 999 99
- 10920 202506      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025060110      99999999999999999999999999999999999999999999999999
5 10920 2025061120      99999999999999999999999999999999999999999999999999
5 10920 202506213099999999999999999999999999999999999999999999999999999999
6 10920 202506     9999999999999999999999 999 99
- 10920 202507      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025070110      99999999999999999999999999999999999999999999999999
5 10920 2025071120      99999999999999999999999999999999999999999999999999
5 10920 20250721319999999999999999999999999999999999999999999999999999999999999
6 10920 202507     9999999999999999999999 999 99
- 10920 202508      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025080110      99999999999999999999999999999999999999999999999999
5 10920 2025081120      99999999999999999999999999999999999999999999999999
5 10920 20250821319999999999999999999999999999999999999999999999999999999999999
6 10920 202508     9999999999999999999999 999 99
- 10920 202509      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025090110      99999999999999999999999999999999999999999999999999
5 10920 2025091120      99999999999999999999999999999999999999999999999999
5 10920 202509213099999999999999999999999999999999999999999999999999999999
6 10920 202509     9999999999999999999999 999 99
- 10920 202510      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025100110      99999999999999999999999999999999999999999999999999
5 10920 2025101120      99999999999999999999999999999999999999999999999999
5 10920 20251021319999999999999999999999999999999999999999999999999999999999999
6 10920 202510     9999999999999999999999 999 99
- 10920 202511      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025110110      99999999999999999999999999999999999999999999999999
5 10920 2025111120      99999999999999999999999999999999999999999999999999
5 10920 202511213099999999999999999999999999999999999999999999999999999999
6 10920 202511     9999999999999999999999 999 99
- 10920 202512      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2025120110      99999999999999999999999999999999999999999999999999
5 10920 2025121120      99999999999999999999999999999999999999999999999999
5 10920 20251221319999999999999999999999999999999999999999999999999999999999999
6 10920 202512     9999999999999999999999 999 99
- 10980 202501      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2025010110      99999999999999999999999999999999999999999999999999
5 10980 2025011120      99999999999999999999999999999999999999999999999999
5 10980 20250121319999999999999999999999999999999999999999999999999999999999999
6 10980 202501     9999999999999999999999 999 99
- 10980 202502      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2025020110      99999999999999999999999999999999999999999999999999
5 10980 2025021120      99999999999999999999999999999999999999999999999999
5 10980 20250221289999999999999999999999999999999999999999999999
6 10980 202502     9999999999999999999999 999 99
